Parent Set,Minifig ID,Name,Qty,Cond,Unit Price,Total Value
76155,sh0762,,1,NEW,24.91,24.91
76155,sh0762,,1,USED,20.16,20.16
76155,sh0764,,1,NEW,6.10,6.10
76155,sh0764,,1,USED,4.72,4.72
76155,sh0763,,1,NEW,23.94,23.94
76155,sh0763,,1,USED,19.08,19.08
76155,sh0765,,1,NEW,8.94,8.94
76155,sh0765,,1,USED,8.09,8.09
76210,sh0850,,1,NEW,148.85,148.85
76210,sh0850,,1,USED,129.92,129.92
76210,sh0850,,1,NEW,150.31,150.31
76210,sh0850,,1,USED,132.50,132.50
10333,lor131,,1,NEW,26.41,26.41
10333,lor131,,1,USED,25.73,25.73
10333,lor133,,1,NEW,32.97,32.97
10333,lor133,,1,USED,30.07,30.07
10333,lor136,,1,NEW,76.10,76.10
10333,lor136,,1,USED,78.61,78.61
10333,lor140,,1,NEW,106.16,106.16
10333,lor140,,1,USED,96.12,96.12
10333,lor134,,1,NEW,68.09,68.09
10333,lor134,,1,USED,63.11,63.11
10333,lor138,,1,NEW,54.11,54.11
10333,lor138,,1,USED,48.28,48.28
10333,lor137,,1,NEW,60.06,60.06
10333,lor137,,1,USED,57.39,57.39
10333,lor135,,1,NEW,60.77,60.77
10333,lor135,,1,USED,58.62,58.62
10333,lor132,,1,NEW,26.21,26.21
10333,lor132,,1,USED,25.58,25.58
10333,lor139,,1,NEW,235.11,235.11
10333,lor139,,1,USED,217.21,217.21
10333,gen099,,1,NEW,5.90,5.90
10333,gen099,,1,USED,4.86,4.86
10333,lor131,,1,NEW,26.41,26.41
10333,lor131,,1,USED,25.73,25.73
10333,lor133,,1,NEW,32.97,32.97
10333,lor133,,1,USED,30.07,30.07
10333,lor136,,1,NEW,76.10,76.10
10333,lor136,,1,USED,78.61,78.61
10333,lor140,,1,NEW,106.16,106.16
10333,lor140,,1,USED,96.12,96.12
10333,lor134,,1,NEW,68.09,68.09
10333,lor134,,1,USED,63.11,63.11
10333,lor138,,1,NEW,54.11,54.11
10333,lor138,,1,USED,48.28,48.28
10333,lor137,,1,NEW,60.06,60.06
10333,lor137,,1,USED,57.39,57.39
10333,lor135,,1,NEW,60.77,60.77
10333,lor135,,1,USED,58.62,58.62
10333,lor132,,1,NEW,26.21,26.21
10333,lor132,,1,USED,25.58,25.58
10333,lor139,,1,NEW,235.11,235.11
10333,lor139,,1,USED,217.21,217.21
10333,gen099,,1,NEW,5.90,5.90
10333,gen099,,1,USED,4.86,4.86
